,id,name,company_id,amount,status,created_at,paid_at,db_id,db_company_id
0,48ba4bdbfb56ceebb32f2bd0263e759be942af3d,MiPasajefy,cbf1c8b09cd5b549416d49d220a40cbd317f952e,3.0,voided,2019-03-19,1999-12-12,5db5526f138308320aaac8c0,214e15c60cf3d66b79562923
1,05fc6f5ac66b6ee7e4253aa5d0c2299eb47aaaf4,MiPasajefy,cbf1c8b09cd5b549416d49d220a40cbd317f952e,3.0,pending_payment,2019-05-06,1999-12-12,8186c5bfd7e422740f141bcf,214e15c60cf3d66b79562923
2,2cdce231c1fc6a2061bfa2f1d978351fe217245d,MiPasajefy,cbf1c8b09cd5b549416d49d220a40cbd317f952e,3.0,voided,2019-02-22,1999-12-12,0db3e82aeeb18ad6f2e9c638,214e15c60cf3d66b79562923
3,81633ba310a50b673efd469c37139576982901aa,MiPasajefy,cbf1c8b09cd5b549416d49d220a40cbd317f952e,102.61,paid,2019-02-27,2019-02-27,f99b8758e9985a4bd0ed8f71,214e15c60cf3d66b79562923
4,6ccfc4c24e788e4bca448df343698782db6b0c0b,MiPasajefy,cbf1c8b09cd5b549416d49d220a40cbd317f952e,184.49,paid,2019-02-05,2019-02-05,7d32e2189ddc4b0111b9313b,214e15c60cf3d66b79562923
5,b25f2ff15c24ea881e676be772f4dd99891ad188,MiPasajefy,cbf1c8b09cd5b549416d49d220a40cbd317f952e,85.27,pending_payment,2019-01-04,1999-12-12,e5523ba09c6f6ec846992d2a,214e15c60cf3d66b79562923
6,4f9db76960dcdf6b7e2d7d71b11519e49d7b1179,MiPasajefy,cbf1c8b09cd5b549416d49d220a40cbd317f952e,41.0,pre_authorized,2019-05-04,1999-12-12,e3e260a31ae939aa8f4ae927,214e15c60cf3d66b79562923
7,7e96211c7d133a6227e809abc3d3ab18992b36b9,MiPasajefy,cbf1c8b09cd5b549416d49d220a40cbd317f952e,3.0,pending_payment,2019-01-23,1999-12-12,43cf7a9218c7b264068e7f90,214e15c60cf3d66b79562923
8,6ee515d5f0a1995731fb31053278e9700d67947c,MiPasajefy,cbf1c8b09cd5b549416d49d220a40cbd317f952e,41.61,voided,2019-05-03,1999-12-12,a2898064ea9c47827bcc51e8,214e15c60cf3d66b79562923
9,cdf1a7a6f5c9b0db543371f9e4bd127b451c09c9,MiPasajefy,cbf1c8b09cd5b549416d49d220a40cbd317f952e,115.84,paid,2019-01-22,2019-01-22,dc8fbf4d424b31579d4c1c24,214e15c60cf3d66b79562923
10,5083f2fc28d4c63bcef7184ca4ee6e8527a9e60d,MiPasajefy,cbf1c8b09cd5b549416d49d220a40cbd317f952e,3.0,voided,2019-03-02,1999-12-12,c7dbb1ac84381b6f94858ebe,214e15c60cf3d66b79562923
11,90820e39fa6aa60555edb6855a6c83e59a9ba271,MiPasajefy,cbf1c8b09cd5b549416d49d220a40cbd317f952e,81.33,paid,2019-01-12,2019-01-12,92b3515f07307ad710ac50cc,214e15c60cf3d66b79562923
12,315fb708b31d2b98da63db63481550cf01087c75,MiPasajefy,cbf1c8b09cd5b549416d49d220a40cbd317f952e,230.27,paid,2019-03-29,2019-03-29,90e12929263a0a76e7f824cc,214e15c60cf3d66b79562923
13,796fc616b760b45ebe0dc5cfc0b170d62e9320c2,MiPasajefy,cbf1c8b09cd5b549416d49d220a40cbd317f952e,117.88,paid,2019-05-18,2019-05-18,d528a1653177994e46c0b019,214e15c60cf3d66b79562923
14,221b7af73b7901a32c526553e40a289724dd023a,MiPasajefy,cbf1c8b09cd5b549416d49d220a40cbd317f952e,73.76,voided,2019-01-10,1999-12-12,758d437b0f396fda07071c26,214e15c60cf3d66b79562923
15,8ff04de2a96c9c05df0d9bd87009ba6649f7c424,MiPasajefy,cbf1c8b09cd5b549416d49d220a40cbd317f952e,364.46,pending_payment,2019-01-11,1999-12-12,a55b3c9b4c04f57cc5d34446,214e15c60cf3d66b79562923
16,78bc9783831c398cbc03b896eb620fcab9375489,MiPasajefy,cbf1c8b09cd5b549416d49d220a40cbd317f952e,3.0,pending_payment,2019-02-16,1999-12-12,92f17a3074c7817f736c692f,214e15c60cf3d66b79562923
17,32149975c2b32f5fa50b93a25c91cf067848e65e,MiPasajefy,cbf1c8b09cd5b549416d49d220a40cbd317f952e,64.36,paid,2019-04-16,2019-04-16,f4e63baf334046ee4390a7ae,214e15c60cf3d66b79562923
18,798166c4cd9d464ab5e83b4152cfd191424bb34d,MiPasajefy,cbf1c8b09cd5b549416d49d220a40cbd317f952e,166.65,pending_payment,2019-05-10,1999-12-12,653b9c5afcc50277e0909cc9,214e15c60cf3d66b79562923
19,1a261c012b286d9abcc91c83769dbf91a31f7276,MiPasajefy,cbf1c8b09cd5b549416d49d220a40cbd317f952e,42.2,voided,2019-01-03,1999-12-12,3b4d160139a88e3d2e99b58e,214e15c60cf3d66b79562923
20,9778228bbb5ef7e2f5f7dac88b4fd533df4aa04a,MiPasajefy,cbf1c8b09cd5b549416d49d220a40cbd317f952e,41.82,paid,2019-03-04,2019-03-04,2b126c3b57e78afac1600ffe,214e15c60cf3d66b79562923
21,0dca80440f819c7f3077d534e92a9634d66e279a,MiPasajefy,cbf1c8b09cd5b549416d49d220a40cbd317f952e,163.49,paid,2019-04-03,2019-04-03,e84ed7a1f882c7b1e639635b,214e15c60cf3d66b79562923
22,6a528f598c344398ce78afb995a2f52c82395f24,MiPasajefy,cbf1c8b09cd5b549416d49d220a40cbd317f952e,188.7,paid,2019-05-10,2019-05-10,1e076561302ee85fcf7a9e54,214e15c60cf3d66b79562923
23,ab2beca2b1bb360e8e21c6c7d4ffd2c538d5e556,MiPasajefy,cbf1c8b09cd5b549416d49d220a40cbd317f952e,59.75,voided,2019-01-15,1999-12-12,a0b70f529128886e0fd14dc8,214e15c60cf3d66b79562923
24,2f08a65c6e10505beae5a1cd544a45b1f46b6bb2,MiPasajefy,cbf1c8b09cd5b549416d49d220a40cbd317f952e,102.98,paid,2019-01-02,2019-01-02,a98385bb7b50bdb20b7db459,214e15c60cf3d66b79562923
25,be79778857c376c2d7c4500edcfa7eb00ab9ca47,MiPasajefy,cbf1c8b09cd5b549416d49d220a40cbd317f952e,158.33,paid,2019-04-11,2019-04-11,1478a4e8fce79cac81a9f9e8,214e15c60cf3d66b79562923
26,7515720474abd64ef9ab4e9aa6990cd50f59ed32,MiPasajefy,cbf1c8b09cd5b549416d49d220a40cbd317f952e,152.34,pending_payment,2019-03-01,1999-12-12,d92a95c28e7130bb56a58da6,214e15c60cf3d66b79562923
